"AL031283.1",3,5,0,1,0,0,0,0,1,6,1,2,6,0,1,0,0,0,0,0,5,0,2,0,1,1
"EFHD2",904,808,165,115,138,178,287,19,188,771,1174,272,864,27,217,66,92,52,50,350,3337,723,421,653,662,128
"CTRC",1,1,0,0,0,0,1,0,2,1,2,1,4,0,0,1,0,0,0,0,4,0,0,0,1,2
"CASP9",21,99,28,27,26,19,58,1,11,19,186,18,50,17,31,10,5,5,3,15,293,10,9,8,33,91
"DNAJC16",29,80,44,78,44,52,84,8,60,7,30,23,56,21,23,11,6,3,0,86,125,8,12,3,78,54
"AGMAT",2,43,8,3,4,3,13,3,1,0,2,1,18,1,2,1,4,2,0,3,3,0,1,0,29,19
"AL121992.1",0,1,2,2,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
"DDI2",43,129,475,94,105,1295,192,504,70,17,69,38,99,40,57,8,7,5,1,83,254,19,33,9,85,108
"PLEKHM2",52,216,101,159,91,142,164,10,91,41,164,108,158,44,66,19,19,15,5,53,460,38,21,30,127,102
"AL450998.3",0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1
"SLC25A34",3,8,1,14,3,0,1,1,11,0,6,7,3,3,1,0,0,0,0,3,12,1,3,0,1,1
"FBLIM1",0,17,5,151,4,3,8,1,54,2,7,5,12,115,3,1,0,0,0,0,3,0,2,1,4,4
"UQCRHL",4,6,2,1,9,8,18,0,2,3,17,2,4,1,4,0,0,0,1,5,13,4,1,2,6,2
"AL450998.2",25,81,51,69,62,56,115,3,16,19,52,18,63,16,27,26,11,4,3,43,91,13,20,7,90,31
"SPEN",199,482,260,298,240,546,528,20,203,98,312,130,424,130,174,49,58,31,9,277,862,123,164,75,313,235
"ZBTB17",23,93,34,53,33,41,76,8,38,19,36,27,107,13,18,7,10,0,0,63,145,12,19,6,66,35
